Postcode,Ward,Longitude,Latitude
OX1 1NG,Carfax Ward,-1.26416971,51.75241936
OX1 1NJ,Carfax Ward,-1.26668202,51.75114928
OX1 1NN,Jericho and Osney Ward,-1.27027617,51.75105474
OX1 1NP,Carfax Ward,-1.26623268,51.75116446
OX1 1NQ,Carfax Ward,-1.2640149,51.75213966
OX1 1NR,Carfax Ward,-1.26607291,51.75119043
OX1 1NS,Carfax Ward,-1.26352488,51.75198374
OX1 1NU,Carfax Ward,-1.26093176,51.75109531
OX1 1NX,Carfax Ward,-1.26085542,51.75044744
OX1 1NY,Carfax Ward,-1.26748421,51.7508126
OX1 1NZ,Carfax Ward,-1.26090881,51.75072651
OX1 1PA,Carfax Ward,-1.2603344,51.75041719
OX1 1PB,Carfax Ward,-1.26160234,51.74994862
OX1 1PD,Carfax Ward,-1.26018877,51.75135138
OX1 1PE,Carfax Ward,-1.26105016,51.75005304
OX1 1PG,Carfax Ward,-1.26098317,51.74971994
OX1 1PP,Carfax Ward,-1.26872277,51.75216003
OX1 1PT,Carfax Ward,-1.25951376,51.75010632
OX1 1PU,Carfax Ward,-1.25977488,51.75097114
OX1 1PX,Carfax Ward,-1.25963763,51.74873141
OX1 1QE,Carfax Ward,-1.25990074,51.75036051
OX1 1QF,Carfax Ward,-1.2599575,51.7504328
OX1 1QL,Carfax Ward,-1.26011322,51.74976841
OX1 1QN,Carfax Ward,-1.25740549,51.74969741
OX1 1QQ,Carfax Ward,-1.25920371,51.75046402
OX1 1QS,Carfax Ward,-1.25809942,51.7497827
OX1 1QT,Carfax Ward,-1.25956242,51.74890178
OX1 1QU,Carfax Ward,-1.25987622,51.74920047
OX1 1QW,Carfax Ward,-1.25776863,51.74963676
OX1 1QZ,Carfax Ward,-1.25922591,51.74910646
OX1 1RA,Carfax Ward,-1.25682194,51.74906432
OX1 1RD,Carfax Ward,-1.25735772,51.74907669
OX1 1RE,Carfax Ward,-1.2578335,51.74921457
OX1 1RH,Carfax Ward,-1.25834377,51.74812983
OX1 1RL,Carfax Ward,-1.25957544,51.74899177
OX1 1RP,Hinksey Park Ward,-1.26161935,51.74801556
OX1 1RQ,Carfax Ward,-1.26529101,51.74848812
OX1 1RR,Carfax Ward,-1.25848543,51.74920969
OX1 1RS,Hinksey Park Ward,-1.26034637,51.74790866
OX1 1RT,Hinksey Park Ward,-1.26121821,51.7477433
OX1 1RU,Hinksey Park Ward,-1.26043856,51.74758554
OX1 1RX,Carfax Ward,-1.26650083,51.75070756
OX1 1SA,Carfax Ward,-1.26450598,51.7495532
OX1 1SG,Carfax Ward,-1.25929377,51.74938562
OX1 1SL,Carfax Ward,-1.25718442,51.74727731
OX1 1SN,Hinksey Park Ward,-1.25786201,51.74658925
OX1 1SR,Holywell Ward,-1.25558292,51.74688954
OX1 1SS,Holywell Ward,-1.25547225,51.74833647
OX1 1ST,Carfax Ward,-1.25674813,51.74738245
OX1 1SU,Hinksey Park Ward,-1.25857677,51.74716921
OX1 1SW,Hinksey Park Ward,-1.25681315,51.74695128
OX1 1SZ,Holywell Ward,-1.25615343,51.74831381
OX1 1TB,Carfax Ward,-1.26830063,51.74959485
OX1 1TD,Carfax Ward,-1.26734867,51.75023631
OX1 1TG,Carfax Ward,-1.26292556,51.74964221
OX1 1TH,Carfax Ward,-1.26186157,51.75182046
OX1 1TL,Carfax Ward,-1.2570538,51.74817564
OX1 1TN,Hinksey Park Ward,-1.26240793,51.74762488
OX1 1TP,Carfax Ward,-1.25848543,51.74920969
OX1 1TQ,Hinksey Park Ward,-1.26191052,51.74703732
OX1 1TR,Hinksey Park Ward,-1.25995751,51.74777135
OX1 1TS,Hinksey Park Ward,-1.26287215,51.74847299
OX1 1TT,Carfax Ward,-1.2595044,51.74802024
OX1 1TU,Hinksey Park Ward,-1.26289555,51.74703451
OX1 1TW,Carfax Ward,-1.26310362,51.75027272
OX1 1TX,Hinksey Park Ward,-1.26303512,51.74735907
OX1 1TY,Hinksey Park Ward,-1.26360322,51.74805497
OX1 1UA,Carfax Ward,-1.2601137,51.74885129
OX1 1UB,Carfax Ward,-1.25904276,51.74879061
OX1 1UD,Carfax Ward,-1.26228312,51.74995288
OX1 1UH,Carfax Ward,-1.25722069,51.74859928
OX1 1UJ,Carfax Ward,-1.25747964,51.74870882
OX1 1UL,Carfax Ward,-1.25777413,51.7475328
OX1 1UQ,Carfax Ward,-1.26024725,51.74954448
OX1 1XX,Carfax Ward,-1.26734867,51.75023631
OX1 1ZY,Carfax Ward,-1.25771816,51.75094918
OX1 1ZZ,Carfax Ward,-1.25771816,51.75094918
OX1 2AA,Carfax Ward,-1.26238947,51.75320845
OX1 2AB,Carfax Ward,-1.25989191,51.75356141
OX1 2AE,Carfax Ward,-1.26055238,51.75392522
OX1 2AF,Carfax Ward,-1.25942087,51.75401701
OX1 2AG,Carfax Ward,-1.26031943,51.75399568
OX1 2AQ,Carfax Ward,-1.26251384,51.75357787
OX1 2AR,Carfax Ward,-1.25930925,51.75375555
OX1 2AT,Carfax Ward,-1.25938374,51.75363014
OX1 2AU,Carfax Ward,-1.25999243,51.75361599
OX1 2AX,Carfax Ward,-1.26177634,51.75527262
OX1 2AY,Carfax Ward,-1.260342,51.7535013
OX1 2BE,Carfax Ward,-1.26199542,51.7533858
OX1 2BJ,Carfax Ward,-1.26103174,51.75384731
OX1 2BL,Carfax Ward,-1.26193279,51.75367314
OX1 2BN,Carfax Ward,-1.26093925,51.7541884
OX1 2BQ,Carfax Ward,-1.26299449,51.75341904
OX1 2BT,Carfax Ward,-1.26103174,51.75384731
OX1 2BU,Carfax Ward,-1.2622304,51.75407961
OX1 2BW,Carfax Ward,-1.2593483,51.75402554
OX1 2BX,Carfax Ward,-1.26314273,51.75410332
OX1 2BY,Carfax Ward,-1.26035468,51.75449943
OX1 2BZ,Carfax Ward,-1.26051638,51.75435658
OX1 2DD,Jericho and Osney Ward,-1.26706536,51.75431665
OX1 2DE,Carfax Ward,-1.26060538,51.75334111
OX1 2DF,Carfax Ward,-1.26173276,51.75439119
OX1 2DH,Carfax Ward,-1.26081316,51.75303671
OX1 2DL,Carfax Ward,-1.26073065,51.75276644
OX1 2DP,Carfax Ward,-1.25946534,51.75218303
OX1 2DR,Carfax Ward,-1.25905395,51.75342126
OX1 2DU,Carfax Ward,-1.2591966,51.75355703
OX1 2DW,Carfax Ward,-1.26005673,51.75233961
OX1 2EA,Carfax Ward,-1.25975768,51.75202302
OX1 2EB,Carfax Ward,-1.26027265,51.75331204
OX1 2EH,Jericho and Osney Ward,-1.26669673,51.75381982
OX1 2EP,Jericho and Osney Ward,-1.26606503,51.75346522
OX1 2ER,Carfax Ward,-1.2628678,51.75764421
OX1 2ES,Carfax Ward,-1.2617081,51.7576819
OX1 2EW,Carfax Ward,-1.26605433,51.75323137
OX1 2EZ,Jericho and Osney Ward,-1.26591392,51.75385091
OX1 2HB,Jericho and Osney Ward,-1.26354673,51.75420475
OX1 2HD,Carfax Ward,-1.26305524,51.75591904
OX1 2HE,Jericho and Osney Ward,-1.26365842,51.7562465
OX1 2HF,Carfax Ward,-1.26259899,51.75813706
OX1 2HG,Jericho and Osney Ward,-1.26353448,51.75674026
OX1 2HP,North Ward,-1.26170633,51.75867993
OX1 2HQ,Carfax Ward,-1.26324739,51.75746676
OX1 2HS,Carfax Ward,-1.26146195,51.75856151
OX1 2HT,North Ward,-1.26227382,51.75853064
OX1 2HU,North Ward,-1.26284366,51.7582375
OX1 2HY,Carfax Ward,-1.26177922,51.75776327
OX1 2JA,Carfax Ward,-1.26203633,51.75709951
OX1 2JD,Carfax Ward,-1.26199198,51.75804333
OX1 2JF,Carfax Ward,-1.26271429,51.7572836
OX1 2JG,Jericho and Osney Ward,-1.26517475,51.75744285
OX1 2JH,Carfax Ward,-1.26191705,51.75819572
OX1 2JJ,Jericho and Osney Ward,-1.2645714,51.75712438
OX1 2JL,Jericho and Osney Ward,-1.26572068,51.75683485
OX1 2JN,Jericho and Osney Ward,-1.26397042,51.75755221
OX1 2JP,Jericho and Osney Ward,-1.26409512,51.75790365
OX1 2JQ,Jericho and Osney Ward,-1.26552011,51.75758887
OX1 2JW,Jericho and Osney Ward,-1.26449586,51.75642258
OX1 2LA,Carfax Ward,-1.26025812,51.75686356
OX1 2LB,Carfax Ward,-1.26137566,51.7567447
OX1 2LD,Carfax Ward,-1.26109293,51.75720148
OX1 2LE,Carfax Ward,-1.26089631,51.75593246
OX1 2LF,Carfax Ward,-1.26132782,51.75612399
OX1 2LG,Carfax Ward,-1.26138243,51.75544099
OX1 2LH,Carfax Ward,-1.26220272,51.75666896
OX1 2LL,Carfax Ward,-1.26246041,51.75596925
OX1 2LN,Carfax Ward,-1.25978163,51.75499034
OX1 2LP,Carfax Ward,-1.26111627,51.75488185
OX1 2LQ,Carfax Ward,-1.26156298,51.75591867
OX1 2LW,Carfax Ward,-1.26078266,51.75490673
OX1 2NA,Carfax Ward,-1.261436,51.75482092
OX1 2NE,Carfax Ward,-1.2610524,51.75702141
OX1 2NF,Carfax Ward,-1.26143083,51.75691589
OX1 2NP,Carfax Ward,-1.26192428,51.75508473
OX1 2NR,Carfax Ward,-1.26214158,51.7550861
OX1 2NY,Carfax Ward,-1.26182273,51.75509309
OX1 2NZ,Carfax Ward,-1.26173581,51.75509254
OX1 2PG,Carfax Ward,-1.26116983,51.75515192
OX1 2PH,Carfax Ward,-1.26045368,51.75553405
OX1 2RA,Jericho and Osney Ward,-1.26876906,51.75467791
OX1 2RB,Jericho and Osney Ward,-1.26864722,51.7550458
OX1 2RD,Jericho and Osney Ward,-1.2688322,51.75525376
OX1 2RE,Jericho and Osney Ward,-1.26965849,51.75522292
OX1 2RF,Jericho and Osney Ward,-1.26971138,51.75463881
OX1 2RG,Jericho and Osney Ward,-1.27028141,51.75522679
OX1 2RL,Carfax Ward,-1.26316379,51.75369883
OX1 2RP,Carfax Ward,-1.25975768,51.75202302
OX1 2RQ,Jericho and Osney Ward,-1.2702652,51.75623373
OX1 2RR,Carfax Ward,-1.25976624,51.75327289
OX1 2TA,Jericho and Osney Ward,-1.26538717,51.7541713
OX1 2XN,Carfax Ward,-1.26734867,51.75023631
OX1 2YX,Carfax Ward,-1.26734867,51.75023631
OX1 3AA,Carfax Ward,-1.25911519,51.754105
OX1 3AD,Carfax Ward,-1.25921145,51.7544203
OX1 3AE,Carfax Ward,-1.25945345,51.75468257
OX1 3AF,Carfax Ward,-1.25847988,51.75397511
OX1 3AG,Carfax Ward,-1.25824781,51.75399163
OX1 3AH,Carfax Ward,-1.25824781,51.75399163
OX1 3AJ,Carfax Ward,-1.25778411,51.75399769
OX1 3AN,Holywell Ward,-1.25443691,51.75843627
OX1 3AQ,North Ward,-1.25889769,51.76031669
OX1 3AS,Carfax Ward,-1.2570879,51.75404725
OX1 3AY,Carfax Ward,-1.25753918,51.75391523
OX1 3AZ,Carfax Ward,-1.2554479,51.7542257
OX1 3BB,Carfax Ward,-1.25567318,51.75462275
OX1 3BD,Holywell Ward,-1.25413247,51.75492768
OX1 3BG,Carfax Ward,-1.25491148,51.75513044
OX1 3BH,Carfax Ward,-1.25616069,51.75493154
OX1 3BJ,Carfax Ward,-1.25741508,51.75529912
OX1 3BL,Holywell Ward,-1.25332643,51.75460787
OX1 3BN,Holywell Ward,-1.25150579,51.75431757
OX1 3BQ,Carfax Ward,-1.25551324,51.7546577
OX1 3BS,Carfax Ward,-1.25627448,51.75417698
OX1 3BT,Carfax Ward,-1.25551324,51.7546577
OX1 3BU,Carfax Ward,-1.25551324,51.7546577
OX1 3BW,Holywell Ward,-1.2536818,51.75414257
OX1 3BZ,Carfax Ward,-1.25567318,51.75462275
OX1 3DA,Carfax Ward,-1.25740984,51.75385147
OX1 3DD,Holywell Ward,-1.25341003,51.76008418
OX1 3DE,Carfax Ward,-1.25793605,51.75356707
OX1 3DH,Carfax Ward,-1.25675651,51.75393726
OX1 3DN,Carfax Ward,-1.25617985,51.75288161
OX1 3DP,Carfax Ward,-1.25626664,51.75377231
OX1 3DQ,Carfax Ward,-1.25617985,51.75288161
OX1 3DR,Carfax Ward,-1.25553747,51.75318326
OX1 3DS,Carfax Ward,-1.25636255,51.75322445
OX1 3DU,Carfax Ward,-1.25703701,51.75273418
OX1 3DW,Carfax Ward,-1.25740081,51.75351873
OX1 3DX,Carfax Ward,-1.25673325,51.75270528
OX1 3DY,Carfax Ward,-1.25664678,51.75267776
OX1 3DZ,Carfax Ward,-1.25647178,51.75274859
OX1 3EF,Carfax Ward,-1.25793481,51.75275783
OX1 3EQ,Carfax Ward,-1.25639196,51.75319766
OX1 3ES,Carfax Ward,-1.25909064,51.7538351
OX1 3EU,Carfax Ward,-1.25730068,51.75255602
OX1 3EX,Carfax Ward,-1.25786651,51.75250564
OX1 3EY,Carfax Ward,-1.25829936,51.75349743
OX1 3EZ,Carfax Ward,-1.25897651,51.75372648
OX1 3HA,Carfax Ward,-1.25876482,51.75338347
OX1 3HB,Carfax Ward,-1.25837438,51.7524549
OX1 3HE,Carfax Ward,-1.25788207,51.75332396
OX1 3HJ,Carfax Ward,-1.25851305,51.75283341
OX1 3HL,Carfax Ward,-1.25773437,51.7526127
OX1 3HS,Carfax Ward,-1.26734867,51.75023631
OX1 3HY,Carfax Ward,-1.25803248,51.75210207
OX1 3HZ,Carfax Ward,-1.25874276,51.75296074
OX1 3JA,Holywell Ward,-1.24988661,51.75936043
OX1 3JB,Carfax Ward,-1.25957035,51.75284906
OX1 3JD,Carfax Ward,-1.25865372,51.7522049
OX1 3JE,Carfax Ward,-1.25851305,51.75283341
OX1 3JP,Carfax Ward,-1.25904844,51.75641536
OX1 3JS,Carfax Ward,-1.25939193,51.75755944
OX1 3LB,Carfax Ward,-1.25958719,51.75890938
OX1 3LD,Carfax Ward,-1.26097011,51.75851346
OX1 3LE,Carfax Ward,-1.25968611,51.75906285
OX1 3LJ,Carfax Ward,-1.2608984,51.75846805
OX1 3LN,Carfax Ward,-1.26076043,51.75804459
OX1 3LU,Carfax Ward,-1.26025812,51.75686356
OX1 3LW,Carfax Ward,-1.26050627,51.75763838
OX1 3LY,Carfax Ward,-1.25995175,51.75610635
OX1 3LZ,Carfax Ward,-1.26050777,51.75665832
OX1 3NA,Carfax Ward,-1.25972746,51.75564638
OX1 3ND,Carfax Ward,-1.26101166,51.75863061
OX1 3NP,North Ward,-1.25909779,51.75959864
OX1 3PA,Holywell Ward,-1.25549181,51.75684248
OX1 3PB,Holywell Ward,-1.25680103,51.75917055
OX1 3PD,North Ward,-1.25848431,51.75990048
OX1 3PG,Carfax Ward,-1.25819787,51.75881071
OX1 3PH,North Ward,-1.25934503,51.7604274
OX1 3PJ,North Ward,-1.2598691,51.76027785
OX1 3PL,Holywell Ward,-1.25199171,51.75998526
OX1 3PN,Holywell Ward,-1.25457856,51.7559915
OX1 3PP,Holywell Ward,-1.25639759,51.75903312
OX1 3PR,Holywell Ward,-1.25639759,51.75903312
OX1 3PS,Holywell Ward,-1.25059184,51.7587715
OX1 3PT,Holywell Ward,-1.25487833,51.75978778
OX1 3PU,Holywell Ward,-1.25629473,51.76000354
OX1 3PW,Holywell Ward,-1.25639759,51.75903312
OX1 3PX,Carfax Ward,-1.25740501,51.75768178
OX1 3QA,Carfax Ward,-1.25827437,51.75767828
OX1 3QD,North Ward,-1.25848431,51.75990048
OX1 3QF,Carfax Ward,-1.25829745,51.75803808
OX1 3QG,North Ward,-1.25849879,51.75990057
OX1 3QP,Holywell Ward,-1.25596783,51.75785254
OX1 3QR,Holywell Ward,-1.25484508,51.75828601
OX1 3QS,Carfax Ward,-1.25672426,51.75766849
OX1 3QT,Holywell Ward,-1.25136829,51.75825494
OX1 3QU,Holywell Ward,-1.25059184,51.7587715
OX1 3QX,Holywell Ward,-1.25059184,51.7587715
OX1 3QY,Holywell Ward,-1.25392083,51.75898148
OX1 3QZ,Holywell Ward,-1.25319437,51.75910275
OX1 3RB,Holywell Ward,-1.25059184,51.7587715
OX1 3RE,Holywell Ward,-1.25169341,51.7596237
OX1 3RF,Holywell Ward,-1.25050764,51.75948128
OX1 3RG,Holywell Ward,-1.25497206,51.75761245
OX1 3RH,North Ward,-1.2594869,51.75972697
OX1 3RJ,Holywell Ward,-1.25248621,51.75987152
OX1 3RQ,Holywell Ward,-1.25352845,51.75993208
OX1 3SA,Holywell Ward,-1.25061054,51.7550132
OX1 3SB,Holywell Ward,-1.25250616,51.75515114
OX1 3SD,Holywell Ward,-1.25282753,51.75499134
OX1 3SE,Holywell Ward,-1.24965923,51.75471941
OX1 3SH,Holywell Ward,-1.24985459,51.75517022
OX1 3SP,Holywell Ward,-1.25428841,51.75513548
OX1 3SU,Holywell Ward,-1.25300506,51.75476768
OX1 3SX,Holywell Ward,-1.24872714,51.75326584
OX1 3SY,Holywell Ward,-1.25133366,51.75859639
OX1 3SZ,Holywell Ward,-1.25152882,51.7564307
OX1 3TA,Holywell Ward,-1.25210847,51.75817872
OX1 3TB,Holywell Ward,-1.25132282,51.75574604
OX1 3TD,Holywell Ward,-1.25188987,51.75562377
OX1 3TE,Holywell Ward,-1.25205963,51.75674878
OX1 3TF,Holywell Ward,-1.25276752,51.75775132
OX1 3TG,Holywell Ward,-1.25411156,51.75795766
OX1 3TH,Holywell Ward,-1.25136829,51.75825494
OX1 3TJ,Holywell Ward,-1.24814763,51.75763197
OX1 3TL,Holywell Ward,-1.25045304,51.75577646
OX1 3TN,Holywell Ward,-1.24869884,51.7558462
OX1 3TP,Holywell Ward,-1.24532593,51.75480858
OX1 3TS,Holywell Ward,-1.24936101,51.75523002
OX1 3TU,Holywell Ward,-1.24804993,51.75566223
OX1 3TX,Holywell Ward,-1.24890073,51.75502927
OX1 3TZ,Holywell Ward,-1.25247684,51.7560501
OX1 3UA,Holywell Ward,-1.25333581,51.75667596
OX1 3UB,Holywell Ward,-1.25385316,51.75781217
OX1 3UD,Holywell Ward,-1.25059184,51.7587715
OX1 3UH,Holywell Ward,-1.24758607,51.75654941
OX1 3UJ,Holywell Ward,-1.24416549,51.75576321
OX1 3UL,Holywell Ward,-1.24813926,51.75726327
OX1 3UN,Holywell Ward,-1.24602316,51.7564405
OX1 3UP,Holywell Ward,-1.24638847,51.75625402
OX1 3UQ,Holywell Ward,-1.24611678,51.75690865
OX1 3UR,Holywell Ward,-1.24813926,51.75726327
OX1 3UW,Holywell Ward,-1.2463041,51.75610062
OX1 3ZX,Carfax Ward,-1.26734867,51.75023631
OX1 4AB,Carfax Ward,-1.2573357,51.75218759
OX1 4AD,Carfax Ward,-1.25716143,51.75221346
OX1 4AG,Carfax Ward,-1.25630504,51.75231595
OX1 4AH,Carfax Ward,-1.25511458,51.75247026
OX1 4AJ,Carfax Ward,-1.25437759,51.75323886
OX1 4AL,Holywell Ward,-1.25332603,51.75375369
OX1 4AN,Holywell Ward,-1.25194934,51.75289974
OX1 4AP,Holywell Ward,-1.25004023,51.75270776
OX1 4AQ,Carfax Ward,-1.25605804,51.75235934
OX1 4AR,Holywell Ward,-1.25003219,51.75319324
OX1 4AS,Holywell Ward,-1.2491451,51.75252222
OX1 4AU,Holywell Ward,-1.24644757,51.75183061
OX1 4AW,Holywell Ward,-1.25114566,51.75331722
OX1 4AY,Holywell Ward,-1.24686301,51.75123983
OX1 4AZ,Holywell Ward,-1.24686301,51.75123983
OX1 4BA,Holywell Ward,-1.24874473,51.75220497
OX1 4BD,Holywell Ward,-1.24894663,51.7522602
OX1 4BE,Holywell Ward,-1.24932519,51.75214573
OX1 4BG,Holywell Ward,-1.25053691,51.75245917
OX1 4BH,Holywell Ward,-1.25222061,51.75226308
OX1 4BJ,Holywell Ward,-1.25326074,51.75244052
OX1 4BT,Holywell Ward,-1.25485769,51.75223486
OX1 4BW,Holywell Ward,-1.25426201,51.75233898
OX1 4BX,Holywell Ward,-1.25542453,51.75212155
OX1 4BZ,Holywell Ward,-1.25529386,51.75213871
OX1 4DA,Holywell Ward,-1.25448033,51.75227743
OX1 4DB,Carfax Ward,-1.25674106,51.75222879
OX1 4DF,Holywell Ward,-1.25620748,51.75208155
OX1 4DG,Holywell Ward,-1.25619403,51.75201853
OX1 4DH,Holywell Ward,-1.2565996,51.75202109
OX1 4DN,Holywell Ward,-1.25700608,51.75196971
OX1 4DS,Holywell Ward,-1.25732549,51.75192678
OX1 4DT,Holywell Ward,-1.24855148,51.75162828
OX1 4DU,Holywell Ward,-1.24853773,51.75071106
OX1 4DX,Holywell Ward,-1.24918954,51.75071523
OX1 4EA,Carfax Ward,-1.25650887,51.7522543
OX1 4EE,Holywell Ward,-1.25602729,51.75158589
OX1 4EH,Holywell Ward,-1.25557455,51.75180781
OX1 4EJ,Holywell Ward,-1.25492434,51.75170478
OX1 4EL,Holywell Ward,-1.24857167,51.7521589
OX1 4EP,Holywell Ward,-1.25412707,51.75173569
OX1 4EQ,Carfax Ward,-1.25650887,51.7522543
OX1 4ER,Holywell Ward,-1.2541114,51.75180753
OX1 4ES,Holywell Ward,-1.25322248,51.75212558
OX1 4ET,Holywell Ward,-1.252359,51.75177842
OX1 4EW,Holywell Ward,-1.25388408,51.75153635
OX1 4EX,Holywell Ward,-1.25103936,51.75185994
OX1 4EZ,Holywell Ward,-1.25678759,51.75115911
OX1 4FA,Hinksey Park Ward,-1.25674139,51.74514355
OX1 4FJ,Carfax Ward,-1.26734867,51.75023631
OX1 4FR,Hinksey Park Ward,-1.25895987,51.74411454
OX1 4FS,Hinksey Park Ward,-1.25913411,51.74408867
OX1 4HL,Holywell Ward,-1.25470647,51.75173937
OX1 4HS,Holywell Ward,-1.25478881,51.75201863
OX1 4HT,Holywell Ward,-1.25448388,51.75206165
OX1 4JA,Holywell Ward,-1.2543584,51.75176414
