Neighbourhood,Street,Description,GeometryJSON,Email,Phone
Bartlemas,Chapel Street and Collins Street,includes part of union street,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.23653, 51.747666, 0.0], [-1.2345564, 51.747048, 0.0], [-1.2340601, 51.7475047, 0.0], [-1.2329103, 51.7483909, 0.0], [-1.2339671, 51.7488459, 0.0], [-1.234856, 51.747885, 0.0], [-1.236036, 51.748223, 0.0], [-1.23653, 51.747666, 0.0]]]}, ""bbox"": [-1.23653, 51.747048, -1.2329103, 51.7488459]}], ""bbox"": [-1.23653, 51.747048, -1.2329103, 51.7488459]}",chapel@oxfordtogether.org,07724 294645
Bartlemas,East Avenue Lower,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2345564, 51.747048, 0.0], [-1.2335809, 51.7466771, 0.0], [-1.2332107, 51.7470624, 0.0], [-1.2333824, 51.7473015, 0.0], [-1.2324811, 51.7480953, 0.0], [-1.2330122, 51.7483344, 0.0], [-1.2345564, 51.747048, 0.0]]]}, ""bbox"": [-1.2345564, 51.7466771, -1.2324811, 51.7483344]}], ""bbox"": [-1.2345564, 51.7466771, -1.2324811, 51.7483344]}",eastavlower@oxfordtogether.org,07724 294645
Bartlemas,East Avenue Upper,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2330122, 51.7483344, 0.0], [-1.2324221, 51.7480819, 0.0], [-1.2313278, 51.7490384, 0.0], [-1.231478, 51.7491247, 0.0], [-1.231445, 51.749592, 0.0], [-1.231766, 51.749585, 0.0], [-1.231906, 51.749167, 0.0], [-1.2330122, 51.7483344, 0.0]]]}, ""bbox"": [-1.2330122, 51.7480819, -1.2313278, 51.749592]}], ""bbox"": [-1.2330122, 51.7480819, -1.2313278, 51.749592]}",eastavupper@oxfordtogether.org,07724 294645
Bartlemas,Ablett Close,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2326367, 51.7486035, 0.0], [-1.231906, 51.749167, 0.0], [-1.232603, 51.749266, 0.0], [-1.233826, 51.74912, 0.0], [-1.2339671, 51.7488459, 0.0], [-1.2329103, 51.7483909, 0.0], [-1.2326367, 51.7486035, 0.0]]]}, ""bbox"": [-1.2339671, 51.7483909, -1.231906, 51.749266]}], ""bbox"": [-1.2339671, 51.7483909, -1.231906, 51.749266]}",ablett@oxfordtogether.org,07724 294645
Bartlemas,Nye Bevan Close,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2316382, 51.7487611, 0.0], [-1.2301254, 51.7480703, 0.0], [-1.2301576, 51.7479308, 0.0], [-1.2297123, 51.7477515, 0.0], [-1.229192, 51.748429, 0.0], [-1.230844, 51.749432, 0.0], [-1.2314504, 51.7493921, 0.0], [-1.231478, 51.7491247, 0.0], [-1.2312949, 51.7490401, 0.0], [-1.2316382, 51.7487611, 0.0]]]}, ""bbox"": [-1.2316382, 51.7477515, -1.229192, 51.749432]}], ""bbox"": [-1.2316382, 51.7477515, -1.229192, 51.749432]}",nyebevan@oxfordtogether.org,07724 294645
Bartlemas,Manzil Way and Cosin Close,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.2335809, 51.7466771, 0.0], [-1.2328113, 51.7463538, 0.0], [-1.2321012, 51.7460613, 0.0], [-1.2318402, 51.7462587, 0.0], [-1.231707, 51.7461831, 0.0], [-1.2297123, 51.7477515, 0.0], [-1.2301576, 51.7479308, 0.0], [-1.2301254, 51.7480703, 0.0], [-1.2316382, 51.7487611, 0.0], [-1.2333762, 51.7473264, 0.0], [-1.2332107, 51.7470624, 0.0], [-1.2335809, 51.7466771, 0.0]]]}, ""bbox"": [-1.2335809, 51.7460613, -1.2297123, 51.7487611]}], ""bbox"": [-1.2335809, 51.7460613, -1.2297123, 51.7487611]}",manzil@oxfordtogether.org,07724 294645
Barton East,"BARTON EAST 02 Bayswater Road, Lydia Cl, Cress Hill Place",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.19173, 51.767962, 0.0], [-1.192009, 51.768021, 0.0], [-1.192401, 51.767055, 0.0], [-1.192519, 51.766956, 0.0], [-1.192964, 51.765966, 0.0], [-1.19338, 51.765822, 0.0], [-1.193645, 51.765545, 0.0], [-1.193793, 51.765311, 0.0], [-1.193812, 51.76505, 0.0], [-1.194257, 51.764851, 0.0], [-1.194788, 51.76432, 0.0], [-1.194758, 51.764218, 0.0], [-1.195115, 51.763905, 0.0], [-1.196027, 51.763702, 0.0], [-1.195775, 51.763958, 0.0], [-1.195882, 51.764236, 0.0], [-1.196606, 51.764383, 0.0], [-1.19695, 51.764452, 0.0], [-1.197253, 51.764228, 0.0], [-1.19688, 51.763921, 0.0], [-1.196086, 51.763669, 0.0], [-1.1968, 51.76331, 0.0], [-1.196268, 51.763164, 0.0], [-1.196086, 51.763496, 0.0], [-1.195898, 51.763526, 0.0], [-1.19599, 51.763166, 0.0], [-1.195684, 51.763131, 0.0], [-1.195196, 51.763121, 0.0], [-1.195198, 51.763413, 0.0], [-1.194954, 51.7635, 0.0], [-1.194954, 51.763676, 0.0], [-1.194632, 51.763852, 0.0], [-1.193876, 51.764412, 0.0], [-1.193731, 51.76428, 0.0], [-1.193047, 51.764675, 0.0], [-1.192363, 51.765116, 0.0], [-1.192074, 51.765867, 0.0], [-1.191816, 51.766391, 0.0], [-1.19158, 51.766979, 0.0], [-1.19129, 51.767799, 0.0], [-1.19173, 51.767962, 0.0]]]}, ""bbox"": [-1.197253, 51.763121, -1.19129, 51.768021]}], ""bbox"": [-1.197253, 51.763121, -1.19129, 51.768021]}",bayswater@oxfordtogeher.org,
Barton East,BARTON EAST 03 Stowford Road,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.195056, 51.768013, 0.0], [-1.195186, 51.767532, 0.0], [-1.192386, 51.767223, 0.0], [-1.192096, 51.767801, 0.0], [-1.195056, 51.768013, 0.0]]]}, ""bbox"": [-1.195186, 51.767223, -1.192096, 51.768013]}], ""bbox"": [-1.195186, 51.767223, -1.192096, 51.768013]}",stowford@oxfordtogeher.org,
Barton East,"BARTON EAST 04 Bassett Road, Brampton Road",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.193739, 51.765199, 0.0], [-1.194565, 51.765431, 0.0], [-1.196989, 51.765431, 0.0], [-1.197204, 51.765458, 0.0], [-1.19656, 51.766042, 0.0], [-1.195455, 51.765889, 0.0], [-1.194736, 51.765909, 0.0], [-1.193621, 51.765783, 0.0], [-1.19303, 51.765776, 0.0], [-1.192923, 51.766161, 0.0], [-1.19406, 51.76638, 0.0], [-1.196228, 51.766427, 0.0], [-1.196367, 51.766321, 0.0], [-1.196582, 51.766029, 0.0], [-1.197236, 51.765431, 0.0], [-1.197644, 51.765159, 0.0], [-1.196957, 51.76492, 0.0], [-1.195316, 51.764999, 0.0], [-1.194114, 51.764794, 0.0], [-1.193739, 51.765199, 0.0]]]}, ""bbox"": [-1.197644, 51.764794, -1.192923, 51.766427]}], ""bbox"": [-1.197644, 51.764794, -1.192923, 51.766427]}",bassett@oxfordtogeher.org,
Barton East,"BARTON EAST 07 Bayswater Farm Road, Waynflete Road, Colwell Drive",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.188048, 51.765363, 0.0], [-1.187716, 51.76535, 0.0], [-1.187716, 51.764546, 0.0], [-1.187404, 51.764407, 0.0], [-1.187254, 51.764414, 0.0], [-1.187275, 51.76528, 0.0], [-1.187023, 51.765592, 0.0], [-1.186178, 51.765777, 0.0], [-1.186144, 51.765944, 0.0], [-1.18653, 51.765909, 0.0], [-1.186337, 51.766424, 0.0], [-1.187281, 51.766796, 0.0], [-1.187262, 51.766955, 0.0], [-1.187659, 51.766912, 0.0], [-1.187696, 51.766188, 0.0], [-1.187542, 51.765888, 0.0], [-1.187633, 51.765684, 0.0], [-1.18811, 51.765563, 0.0], [-1.188606, 51.765173, 0.0], [-1.188464, 51.767268, 0.0], [-1.189046, 51.767504, 0.0], [-1.191341, 51.768191, 0.0], [-1.191705, 51.767749, 0.0], [-1.191055, 51.767588, 0.0], [-1.190384, 51.76744, 0.0], [-1.18982, 51.767246, 0.0], [-1.189128, 51.766972, 0.0], [-1.189274, 51.764965, 0.0], [-1.189286, 51.764232, 0.0], [-1.189721, 51.76378, 0.0], [-1.190173, 51.763756, 0.0], [-1.19336, 51.764498, 0.0], [-1.193736, 51.764377, 0.0], [-1.190121, 51.763484, 0.0], [-1.189536, 51.763538, 0.0], [-1.188394, 51.763739, 0.0], [-1.188504, 51.765106, 0.0], [-1.188048, 51.765363, 0.0]]]}, ""bbox"": [-1.193736, 51.763484, -1.186144, 51.768191]}], ""bbox"": [-1.193736, 51.763484, -1.186144, 51.768191]}",bayswaterfarm@oxfordtogeher.org,
Barton East,"BARTON EAST 08 Claymond Road, Malford Road, The Dale",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.18835, 51.76518, 0.0], [-1.188232, 51.765091, 0.0], [-1.188221, 51.764911, 0.0], [-1.187696, 51.764915, 0.0], [-1.187716, 51.76535, 0.0], [-1.188048, 51.765363, 0.0], [-1.188372, 51.765173, 0.0], [-1.18835, 51.76518, 0.0]]], [[[-1.188372, 51.765173, 0.0], [-1.189305, 51.764862, 0.0], [-1.189208, 51.765731, 0.0], [-1.189337, 51.765891, 0.0], [-1.190871, 51.76533, 0.0], [-1.191397, 51.764928, 0.0], [-1.191756, 51.764151, 0.0], [-1.190173, 51.763756, 0.0], [-1.189761, 51.76436, 0.0], [-1.189369, 51.764513, 0.0], [-1.18931, 51.764855, 0.0], [-1.188388, 51.765164, 0.0], [-1.188372, 51.765173, 0.0]]]]}, ""bbox"": [-1.191756, 51.763756, -1.187696, 51.765891]}], ""bbox"": [-1.191756, 51.763756, -1.187696, 51.765891]}",claymond@oxfordtogeher.org,
Barton East,BARTON EAST 09 Green Ridges,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.188474, 51.764723, 0.0], [-1.18842, 51.764411, 0.0], [-1.188002, 51.764397, 0.0], [-1.188463, 51.763594, 0.0], [-1.188688, 51.763601, 0.0], [-1.189053, 51.762439, 0.0], [-1.186693, 51.762472, 0.0], [-1.18651, 51.762837, 0.0], [-1.186306, 51.762976, 0.0], [-1.186607, 51.763919, 0.0], [-1.187218, 51.763939, 0.0], [-1.187165, 51.764178, 0.0], [-1.187716, 51.764546, 0.0], [-1.18769, 51.76471, 0.0], [-1.188474, 51.764723, 0.0]]]}, ""bbox"": [-1.189053, 51.762439, -1.186306, 51.764723]}], ""bbox"": [-1.189053, 51.762439, -1.186306, 51.764723]}",greenridges@oxfordtogeher.org,
Barton West & Barton Park,"BARTON WEST 04 Atkinson Close, Hubble Close, Shaftsbury Road",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.201972, 51.768914, 0.0], [-1.202167, 51.768949, 0.0], [-1.201972, 51.768913, 0.0], [-1.201972, 51.768914, 0.0]]], [[[-1.203034, 51.769109, 0.0], [-1.203222, 51.769133, 0.0], [-1.203254, 51.76905, 0.0], [-1.203646, 51.76885, 0.0], [-1.203474, 51.768757, 0.0], [-1.203072, 51.768983, 0.0], [-1.203034, 51.769106, 0.0], [-1.202167, 51.768949, 0.0], [-1.203034, 51.769109, 0.0]]], [[[-1.201972, 51.768913, 0.0], [-1.202106, 51.768572, 0.0], [-1.202911, 51.768625, 0.0], [-1.202986, 51.768485, 0.0], [-1.201328, 51.768316, 0.0], [-1.201258, 51.768452, 0.0], [-1.201843, 51.768585, 0.0], [-1.201623, 51.769192, 0.0], [-1.20136, 51.769415, 0.0], [-1.200797, 51.769212, 0.0], [-1.200931, 51.769073, 0.0], [-1.200722, 51.76897, 0.0], [-1.200261, 51.769388, 0.0], [-1.200508, 51.769494, 0.0], [-1.200674, 51.769358, 0.0], [-1.201763, 51.769757, 0.0], [-1.201993, 51.769528, 0.0], [-1.201832, 51.769405, 0.0], [-1.201709, 51.769508, 0.0], [-1.201596, 51.769474, 0.0], [-1.201886, 51.769219, 0.0], [-1.20194, 51.768907, 0.0], [-1.201972, 51.768913, 0.0]]]]}, ""bbox"": [-1.203646, 51.768316, -1.200261, 51.769757]}], ""bbox"": [-1.203646, 51.768316, -1.200261, 51.769757]}",shaftsbury@oxfordtogeher.org,
Barton West & Barton Park,BARTON WEST 08 Sherwood Place,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.199841, 51.765624, 0.0], [-1.199588, 51.765517, 0.0], [-1.199395, 51.765839, 0.0], [-1.198505, 51.765534, 0.0], [-1.197936, 51.766278, 0.0], [-1.199047, 51.766503, 0.0], [-1.199331, 51.766068, 0.0], [-1.199572, 51.766132, 0.0], [-1.199841, 51.765624, 0.0]]]}, ""bbox"": [-1.199841, 51.765517, -1.197936, 51.766503]}], ""bbox"": [-1.199841, 51.765517, -1.197936, 51.766503]}",sherwood@oxfordtogeher.org,
Barton West & Barton Park,"BARTON WEST 06 Brome Place, Henry Taunt Close, Ilsley Road",,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-1.198302, 51.767891, 0.0], [-1.198281, 51.767981, 0.0], [-1.198313, 51.767892, 0.0], [-1.198302, 51.767891, 0.0]]], [[[-1.197938, 51.767942, 0.0], [-1.197675, 51.767905, 0.0], [-1.197626, 51.768167, 0.0], [-1.197878, 51.76819, 0.0], [-1.197938, 51.767942, 0.0]]], [[[-1.198302, 51.767891, 0.0], [-1.198399, 51.76747, 0.0], [-1.198855, 51.76753, 0.0], [-1.199112, 51.76755, 0.0], [-1.199075, 51.767669, 0.0], [-1.199279, 51.767696, 0.0], [-1.199482, 51.7675, 0.0], [-1.199692, 51.7676, 0.0], [-1.199236, 51.767995, 0.0], [-1.199531, 51.768024, 0.0], [-1.19982, 51.767759, 0.0], [-1.200658, 51.768134, 0.0], [-1.200819, 51.768021, 0.0], [-1.19996, 51.767576, 0.0], [-1.20003, 51.767517, 0.0], [-1.200529, 51.767732, 0.0], [-1.200716, 51.767596, 0.0], [-1.200239, 51.76738, 0.0], [-1.200523, 51.767108, 0.0], [-1.200309, 51.767055, 0.0], [-1.199826, 51.76749, 0.0], [-1.199574, 51.767384, 0.0], [-1.199735, 51.767221, 0.0], [-1.199456, 51.767128, 0.0], [-1.199204, 51.767414, 0.0], [-1.197567, 51.767298, 0.0], [-1.197514, 51.767444, 0.0], [-1.19812, 51.767483, 0.0], [-1.198061, 51.767872, 0.0], [-1.198302, 51.767891, 0.0]]]]}, ""bbox"": [-1.200819, 51.767055, -1.197514, 51.76819]}], ""bbox"": [-1.200819, 51.767055, -1.197514, 51.76819]}",ilsley@oxfordtogeher.org,
Blackbird Leys Central,BLACKBIRD LEYS CENTRAL 08 Sandy Lane,,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""0"", ""type"": ""Feature"", ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-1.204089, 51.722678, 0.0], [-1.20329, 51.723246, 0.0], [-1.20292, 51.723456, 0.0], [-1.203016, 51.723589, 0.0], [-1.203073, 51.723807, 0.0], [-1.203368, 51.724033, 0.0], [-1.203637, 51.724103, 0.0], [-1.203433, 51.724309, 0.0], [-1.203556, 51.724375, 0.0], [-1.203417, 51.724565, 0.0], [-1.203478, 51.724597, 0.0], [-1.203081, 51.725119, 0.0], [-1.202148, 51.725195, 0.0], [-1.202164, 51.725295, 0.0], [-1.201831, 51.725312, 0.0], [-1.201703, 51.725225, 0.0], [-1.201263, 51.725258, 0.0], [-1.201198, 51.725132, 0.0], [-1.200249, 51.725219, 0.0], [-1.200195, 51.725298, 0.0], [-1.198178, 51.725411, 0.0], [-1.196984, 51.725499, 0.0], [-1.195879, 51.725585, 0.0], [-1.195943, 51.725824, 0.0], [-1.195407, 51.725844, 0.0], [-1.1953, 51.725678, 0.0], [-1.19516, 51.725705, 0.0], [-1.194441, 51.725731, 0.0], [-1.193465, 51.725352, 0.0], [-1.193125, 51.725561, 0.0], [-1.193581, 51.725717, 0.0], [-1.194386, 51.726046, 0.0], [-1.194954, 51.726289, 0.0], [-1.195319, 51.726066, 0.0], [-1.195952, 51.725943, 0.0], [-1.196735, 51.7259, 0.0], [-1.19843, 51.725774, 0.0], [-1.198484, 51.725926, 0.0], [-1.198988, 51.72589, 0.0], [-1.198908, 51.72576, 0.0], [-1.200083, 51.725654, 0.0], [-1.200308, 51.725936, 0.0], [-1.200898, 51.725853, 0.0], [-1.200876, 51.725604, 0.0], [-1.201622, 51.725548, 0.0], [-1.201703, 51.72573, 0.0], [-1.202105, 51.725697, 0.0], [-1.202137, 51.725501, 0.0], [-1.202378, 51.725484, 0.0], [-1.203408, 51.725401, 0.0], [-1.203783, 51.725474, 0.0], [-1.203959, 51.725355, 0.0], [-1.203775, 51.7253, 0.0], [-1.204048, 51.725006, 0.0], [-1.204648, 51.724172, 0.0], [-1.204423, 51.724115, 0.0], [-1.204509, 51.724002, 0.0], [-1.204643, 51.723656, 0.0], [-1.204562, 51.723311, 0.0], [-1.204777, 51.723181, 0.0], [-1.204448, 51.722864, 0.0], [-1.204089, 51.722678, 0.0]]]}, ""bbox"": [-1.204777, 51.722678, -1.193125, 51.726289]}], ""bbox"": [-1.204777, 51.722678, -1.193125, 51.726289]}",sandylane@oxfordtogether.org,7917704320
